company,time,metric,value
AB Borlänge Energi Elnät,1/1/2023,Lågspänningsabonnemang i uttagspunkt (antal),30151
AB Borlänge Energi Elnät,1/1/2018,Medellastfaktor,0.8279
AB Borlänge Energi Elnät,1/1/2019,Medellastfaktor,0.8283
AB Borlänge Energi Elnät,1/1/2020,Medellastfaktor,0.7744
AB Borlänge Energi Elnät,1/1/2021,Medellastfaktor,0.7893
AB Borlänge Energi Elnät,1/1/2022,Medellastfaktor,0.777
AB Borlänge Energi Elnät,1/1/2023,Medellastfaktor,0.7975
AB Borlänge Energi Elnät,1/1/2018,Meter ledning per nätstation (beräkning),3533.216783
AB Borlänge Energi Elnät,1/1/2019,Meter ledning per nätstation (beräkning),3689.89547
AB Borlänge Energi Elnät,1/1/2020,Meter ledning per nätstation (beräkning),3746.924429
AB Borlänge Energi Elnät,1/1/2021,Meter ledning per nätstation (beräkning),3742.556918
AB Borlänge Energi Elnät,1/1/2022,Meter ledning per nätstation (beräkning),3762.652705
AB Borlänge Energi Elnät,1/1/2023,Meter ledning per nätstation (beräkning),3777.391304
AB Borlänge Energi Elnät,1/1/2018,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,80
AB Borlänge Energi Elnät,1/1/2019,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,80
AB Borlänge Energi Elnät,1/1/2020,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,80
AB Borlänge Energi Elnät,1/1/2021,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,76
AB Borlänge Energi Elnät,1/1/2022,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,82
AB Borlänge Energi Elnät,1/1/2023,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,83
AB Borlänge Energi Elnät,1/1/2018,Nätstationer inom området (antal),572
AB Borlänge Energi Elnät,1/1/2019,Nätstationer inom området (antal),574
AB Borlänge Energi Elnät,1/1/2020,Nätstationer inom området (antal),569
AB Borlänge Energi Elnät,1/1/2021,Nätstationer inom området (antal),571
AB Borlänge Energi Elnät,1/1/2022,Nätstationer inom området (antal),573
AB Borlänge Energi Elnät,1/1/2023,Nätstationer inom området (antal),575
AB Borlänge Energi Elnät,1/1/2018,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,94
AB Borlänge Energi Elnät,1/1/2019,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,88
AB Borlänge Energi Elnät,1/1/2020,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,84
AB Borlänge Energi Elnät,1/1/2021,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,102
